nohup: no se tendrá en cuenta la entrada
found 25
Initiation Target 352.5-7.5 7.5-22.5 22.5-37.5 37.5-52.5 52.5-67.5 67.5-82.5 82.5-97.5 97.5-112.5 112.5-127.5 127.5-142.5 142.5-157.5 157.5-172.5 172.5-187.5 187.5-202.5 202.5-217.5 217.5-232.5 232.5-247.5 247.5-262.5 262.5-277.5 277.5-292.5 292.5-307.5 307.5-322.5 322.5-337.5 337.5-352.5 Overall
########## SPEEDUPS
Initiation Target 352.5-7.5 7.5-22.5 22.5-37.5 37.5-52.5 52.5-67.5 67.5-82.5 82.5-97.5 97.5-112.5 112.5-127.5 127.5-142.5 142.5-157.5 157.5-172.5 172.5-187.5 187.5-202.5 202.5-217.5 217.5-232.5 232.5-247.5 247.5-262.5 262.5-277.5 277.5-292.5 292.5-307.5 307.5-322.5 322.5-337.5 337.5-352.5 Overall
10 1 2.628229272751629 1.5042847847370335 1.322936308685326 1.0209058709120469 1.0019898621474566 0.8628176035220901 0.9342653368228256 0.924265131244909 0.9223090488417345 0.9257303515793768 1.0413470118827113 1.229516652056655 2.0652594528174664 1.606531860619805 1.2601775732621074 1.1300609841982039 1.0967439939875758 1.0800760720221174 1.0884479445716688 1.0973508004913712 1.0955239573503082 1.099714283075935 1.173518659292529 1.2303626926834184 1.0893061773395751
10 2 1.9736055448840644 1.4183283899389691 1.2879551452957574 1.0499433878982 1.0358284478109276 0.9724507892000617 0.995574508813994 1.0460034868861072 1.0238098688324035 1.065252222657888 1.0968791094512318 1.0523527106892925 2.5259231269045475 1.6303436626427894 1.2713214834391025 1.1890962021854985 1.1379149700587554 1.1081948159393522 1.0872672204930935 1.0890798520237326 1.074529040729507 1.0700692849072906 1.167615098821735 1.2200383508132515 1.1101619705776073
10 3 1.4561261595101755 0.9534382697974769 0.8122596926011666 0.9139709856895102 0.9666039461763783 0.9189501058601542 0.9569545152577207 0.9121680332059053 0.9717842117360305 0.9479975979532033 0.9646941662494756 1.0051910695460204 1.7712788188138144 1.2462542803255565 1.0859948360995038 1.0076730219201369 0.9860050295070041 0.9749655543716017 0.9786404772301354 0.9899362829928299 0.9966527626527896 0.9993756423679978 1.0300798858032747 1.0104549002664098 0.9880004414722324
10 4 3.7751868739839796 0.8493176260108014 1.000595065361863 0.8786345949493006 0.9650158851461044 0.8700490930155123 0.9787810169426352 0.8870059949262605 0.9033211443807024 0.8861703764754914 0.9684832179310733 0.8489407863918459 4.485657767745373 2.3567945412305376 1.6507838042079448 1.4812459621400222 1.3388154765172184 1.2772091855112564 1.2335642508988323 1.2323076059654743 1.2780511987081924 1.35786858139713 1.5519289252094692 1.8436483170143034 1.289753808681454
10 5 5.534777304004277 0.7498087063280967 0.4226639335758609 0.6315221207998731 0.8150597455431371 0.7104809452316188 0.757987675180477 0.8522393374411541 0.9584006822595517 0.9462569796097808 0.868605689101704 0.7190744950880765 3.0526700547837793 1.5861341079839384 1.2295080637034603 1.1841786839497166 1.1321424434607494 1.0985614554100844 1.0703430009066168 1.078801182829143 1.1061496479030613 1.1798887858876093 1.3902893707044754 1.8375308358882485 1.096390023329019
10 6 3.2691489659133537 0.7068016099642503 0.897870998544051 0.8412772582285999 0.9673718983468962 0.8639094575800792 0.9836549807989546 0.944714908325202 0.9850709000361624 0.984205727665665 1.0839366664063692 0.9465371443481865 3.9517478362856395 2.12490899799066 1.5228006389694781 1.3867622050934938 1.2652443471167238 1.2100273946197881 1.1743687618164136 1.173614341575308 1.2030311018802529 1.257499941670762 1.4269102472708923 1.665099203119036 1.2225030876352614
10 7 2.280496570702411 1.177543844333008 1.0083208327048139 0.9658630644964815 1.0305927045996433 0.9402437437859028 0.9856695611168115 0.9509275693070404 1.094393547358404 1.1053835987025222 1.0697668851041537 0.8862364245756558 2.365554171711273 1.3800529907668904 1.1648420558169397 1.1177904524208582 1.0996980939747507 1.0906411384501533 1.0475245063798657 1.043616420032277 1.0402847331146672 1.069121001403836 1.1574939843664185 1.2284103966845767 1.0725859369758677
10 8 2.6458026548476945 1.0339450641065748 0.9054375368043056 0.710066628954267 0.7594126656881618 0.726252987476177 0.7849947610493319 0.7859181195370436 0.8092822912243324 0.8251262816980097 0.8836091035181807 0.7340670497870045 4.244968363022072 2.1904479905853402 1.5443176435874504 1.3674219793422269 1.249335132103593 1.2031236353381645 1.1594311162847422 1.1539406840733015 1.1809794122081276 1.253339262004752 1.36043354031449 1.529146482203137 1.1916825411397374
